Identity,User,Date,Average of IR Signal Ratio,Sum of IR Signal Ratio,Day of the Week,Month,Weekday/Weekend,Weekin Month,Week in Year,Moving Averages,Maximum Ratios,Minimum Ratios,very_active_minutes,lightly_active_minutes,sedentary_minutes,moderately_active_minutes,Total Active Minutes,Average Active Minutes,Average Calories,Sum of Calories,Percentage calories,Total Calories Per User,Maximum Calories Per User,Minimum Calories Per User,Average Calories Per Day,BPM,Percentage BPM,Average steps,Sum of steps,Average Steps by User,Total Steps by User,Total Steps by Month and User,Steps Category
Masai,M01,08-Jul-23,17,5431,Saturday,July,Weekend,Week 2,Week 27,17,17,16,0,2,1438,0,1440,360,0.71,1026,71%,2904,1026,856,968,70.75,71%,22,67,22,67,67,Low Activity
Masai,M02,17-Jun-23,21,964,Saturday,June,Weekend,Week 3,Week 24,17,21,12,3,127,1234,76,1440,360,1.2,1725,120%,76364,2193,932,1558,90,90%,24,9230,19,265649,161431,Moderate Activity
Masai,M02,29-Jun-23,15,948,Thursday,June,Weekday,Week 5,Week 26,17,21,12,0,68,1372,0,1440,360,0.9,1298,90%,76364,2193,932,1558,77,77%,12,1840,19,265649,161431,Low Activity
Masai,M03,17-Jun-23,18,1399,Saturday,June,Weekend,Week 3,Week 24,17,21,14,19,197,1196,28,1440,360,1.26,1819,126%,84689,2521,942,1728,73,73%,15,9791,16,322262,191282,Moderate Activity
Masai,M04,29-Jun-23,17,3725,Thursday,June,Weekday,Week 5,Week 26,17,19,12,45,307,1036,52,1440,360,1.99,2866,199%,97919,3654,1176,1998,73,73%,27,19580,25,316736,304869,High Activity
Masai,M05,17-Jun-23,20,1111,Saturday,June,Weekend,Week 3,Week 24,17,21,12,16,114,1307,3,1440,360,1.44,2080,144%,100209,3658,1256,2045,65,65%,20,6076,27,280408,157389,Moderate Activity
Masai,M05,01-Jul-23,20,4843,Saturday,July,Weekend,Week 1,Week 26,17,21,12,24,199,1211,6,1440,360,1.63,2348,163%,100209,3658,1256,2045,67,67%,20,9731,27,280408,123019,Moderate Activity
Masai,M05,08-Jul-23,13,101,Saturday,July,Weekend,Week 2,Week 27,17,21,12,23,98,1295,24,1440,360,1.48,2132,148%,100209,3658,1256,2045,82,82%,30,7867,27,280408,123019,Moderate Activity
Masai,M06,17-Jun-23,22,2296,Saturday,June,Weekend,Week 3,Week 24,17,22,13,29,288,1107,16,1440,360,1.9,2736,190%,119423,4438,1320,2437,65,65%,22,13162,23,455488,285407,High Activity
Masai,M07,05-Jul-23,18,3357,Wednesday,July,Weekday,Week 2,Week 27,18,23,13,34,259,1126,21,1440,360,1.79,2573,179%,108611,3935,1251,2217,65,65%,18,10693,25,389145,136573,High Activity
Masai,M07,05-Jul-23,17,297,Wednesday,July,Weekday,Week 2,Week 27,18,23,13,34,259,1126,21,1440,360,1.79,2573,179%,108611,3935,1251,2217,65,65%,18,10693,25,389145,136573,High Activity
Masai,M07,08-Jul-23,13,1798,Saturday,July,Weekend,Week 2,Week 27,18,23,13,11,52,1368,9,1440,360,1.28,1848,128%,108611,3935,1251,2217,74,74%,35,3850,25,389145,136573,Low Activity
Masai,M08,17-Jun-23,18,196,Saturday,June,Weekend,Week 3,Week 24,18,20,14,104,264,979,93,1440,360,2.4,3461,240%,104424,4190,1224,2131,83,83%,39,29336,29,376559,366861,High Activity
Masai,M09,17-Jun-23,16,1180,Saturday,June,Weekend,Week 3,Week 24,18,21,14,115,62,1247,16,1440,360,1.76,2531,176%,91299,4333,744,2174,74,74%,47,15562,33,393079,376553,High Activity
Masai,M10,17-Jun-23,16,1114,Saturday,June,Weekend,Week 3,Week 24,18,22,13,98,238,1074,30,1440,360,2.15,3089,215%,114882,4648,1272,2345,75,75%,32,20306,25,482588,312863,High Activity
Masai,M11,19-Jun-23,17,2921,Monday,June,Weekday,Week 4,Week 25,18,24,4,205,275,880,80,1440,360,2.9,4177,290%,121229,4874,1287,2474,86,86%,37,31874,29,597404,419530,High Activity
Masai,M12,24-Jun-23,19,209,Saturday,June,Weekend,Week 4,Week 25,18,23,17,146,276,988,30,1440,360,2.12,3060,212%,102701,3639,1146,2096,72,72%,37,27823,26,437753,267441,High Activity
